Time,Country Code,Value,Women's share of population ages 15+ living with HIV (%) ,"Employers, female (% of female employment) (modeled ILO estimate) ","Self-employed, male (% of male employment) (modeled ILO estimate) ","Self-employed, total (% of total employment) (modeled ILO estimate) ","Labor force with intermediate education, female (% of female working-age population with intermediate education) ",Agricultural land (% of land area),"Government expenditure on education, total (% of GDP) ","Female share of graduates in Arts and Humanities programmes, tertiary (%) ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) ",Adjusted savings: natural resources depletion (% of GNI),Scientific and technical journal articles,Female share of employment in senior and middle management (%) 
2018,EST,-15.0,39.7,2.0,14.3400001525879,10.710000038147,67.5800018310547,23.0409356725146,5.2632098197937,55.15012,79.12,0.798768778762908,1476.89,33.2000007629395
2018,EST,22.0,39.7,2.0,14.3400001525879,10.710000038147,67.5800018310547,23.0409356725146,5.2632098197937,55.15012,79.12,0.798768778762908,1476.89,33.2000007629395
2019,EST,-40.0,39.8,2.10999989509583,14.6099996566772,10.9899997711182,67.3300018310547,23.1204678362573,5.30190992355347,55.15012,78.9,0.733624881780431,1622.86,35.0999984741211
2019,EST,23.0,39.8,2.10999989509583,14.6099996566772,10.9899997711182,67.3300018310547,23.1204678362573,5.30190992355347,55.15012,78.9,0.733624881780431,1622.86,35.0999984741211
2020,EST,-53.0,39.8,1.70000004768372,13.8599996566772,7.01999998092651,67.6699981689453,23.0409356725146,6.57999992370605,55.15012,71.93,0.374756824367254,1747.64,35.7999992370605
2020,EST,19.0,39.8,1.70000004768372,13.8599996566772,7.01999998092651,67.6699981689453,23.0409356725146,6.57999992370605,55.15012,71.93,0.374756824367254,1747.64,35.7999992370605
2021,EST,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2000,FRA,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2001,FRA,20.48997134670487,24.9676217765043,2.0876790879449056,16.903209147958837,13.449885398405671,61.933324021391336,44.99721226486867,5.212867775072683,63.22732481375358,73.84163323782236,0.24441431549743184,16434.599627507163,31.514326562854137
2002,FRA,13.0,32.1,1.94000005722046,13.3100004196167,10.7700004577637,64.8899993896484,54.0768526956519,3.39286994934082,74.09664,68.68,0.01066230594185,51494.97,34.2999992370605
2003,FRA,37.0,32.2,2.14000010490417,14.3500003814697,11.4899997711182,65.7600021362305,53.9083390676934,3.39286994934082,74.2542,69.56,0.00854990445804689,52659.44,34.2999992370605
2004,FRA,33.0,32.2,2.22000002861023,13.8000001907349,11.039999961853,65.2600021362305,53.7987132168301,3.39286994934082,72.20613,69.48,0.00782441804807507,54976.7,34.2999992370605
2005,FRA,31.0,32.3,2.08999991416931,13.8599996566772,10.8800001144409,62.3499984741211,53.675507755357,3.39286994934082,71.68062,69.59,0.00936008843959154,59436.01,36.4000015258789
2006,FRA,32.0,32.4,2.10999989509583,14.4799995422363,11.3599996566772,61.9300003051758,53.5336047206044,3.39286994934082,71.33881,69.54,0.0116642791993981,62294.75,37.0
2006,FRA,9.0,32.4,2.10999989509583,14.4799995422363,11.3599996566772,61.9300003051758,53.5336047206044,3.39286994934082,71.33881,69.54,0.0116642791993981,62294.75,37.0
2007,FRA,36.0,32.6,2.28999996185303,14.1599998474121,10.9799995422363,62.0999984741211,53.338921792617,3.39286994934082,71.04174,69.66,0.0105353219521441,63247.3,36.5
2008,FRA,35.0,32.7,2.54999995231628,13.4099998474121,10.5600004196167,61.8499984741211,53.1635975797953,3.39286994934082,71.34929,69.79,0.0146065165135699,66278.1,36.7999992370605
2009,FRA,31.0,32.8,2.17000007629395,14.210000038147,10.9499998092651,62.0800018310547,52.9988658714983,3.39286994934082,70.9903,70.13,0.00907365368952028,67841.08,37.4000015258789
2010,FRA,29.0,32.9,2.09999990463257,14.9799995422363,11.4899997711182,61.2099990844727,52.8279247639972,5.65859603881836,55.15012,70.17,0.00955820803591046,68299.86,38.5999984741211
2010,FRA,9.0,32.9,2.09999990463257,14.9799995422363,11.4899997711182,61.2099990844727,52.8279247639972,5.65859603881836,55.15012,70.17,0.00955820803591046,68299.86,38.5999984741211
